Id;Descrizione;IdAmm;IdTipoAmm;IdGruppo;IdDominio;IdSpCercaGruppo;IdSpCercaDominio;IdSpGetIstanzeUtente;applicationsID;ParamCercaGruppo;ParamCercaDominio;ParamFiltroAttributo;esposizione;ordine;IsSpGetIstanzeSimple;ConsoleRiferimento;RichiedeProtocollo;dataCreazione
309;Gestisci i patronati zonali;32;2;33;1;3;591;4;3;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
313;Associazioni Casalinghe;62;2;37;2;7;544;8;-1;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
345;Tributaristi, revisori e altri professionisti per imprese senza dipendenti;62;2;38;1;7;567;8;-1;NULL;NULL;numeroIscrizioneAlbo=attributo_nonvisibile|albo=attributo_nonvisibile|dataComunicazione=attributo_nonvisibile;0;NULL;NULL;NULL;NULL;NULL
346;Patronati Nazionali;62;2;32;1;7;544;8;-1;NULL;NULL;codPatronato=admin;0;NULL;NULL;NULL;NULL;NULL
348;Medici ospedalieri;42;2;40;1;3;544;4;-1;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
352;Gestisci gli operatori per i servizi internet;385;2;62;1;3;544;4;3;NULL;NULL;NULL;0;NULL;575;ConsoleIntranet;NULL;NULL
355;Medici Esterni;62;2;41;1;7;544;8;-1;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
356;Gestisci gli amministratori di patronati;1630;2;83;1;7;544;8;3;NULL;NULL;NULL;0;NULL;NULL;ConsoleIntranet;NULL;NULL
357;Gestisci i Patronati nazionali;83;2;32;1;7;544;8;3;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
359;Gestisci gli operatori di direzione PC;1630;2;65;1;7;544;8;3;NULL;NULL;NULL;0;NULL;NULL;ConsoleIntranet;NULL;NULL
363;Delegati;35;2;36;1;3;544;4;-1;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
368;Delegati;38;2;39;1;15;567;8;3;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
369;"Gestisci le Associazioni Casalinghe ";85;2;37;1;7;544;8;3;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
370;Gestisci gli Admin Casalinghe;1630;2;85;1;7;544;8;3;NULL;NULL;NULL;0;NULL;NULL;ConsoleIntranet;NULL;NULL
375;Gestisci gli operatori per i servizi internet;88;2;62;1;3;544;4;3;NULL;NULL;NULL;0;NULL;575;ConsoleIntranet;NULL;NULL
382;Cittadini;62;2;82;1;7;544;8;-1;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
383;Aziende non iscritte all'INAIL;62;2;50;1;7;544;8;-1;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
384;Gestisci il gruppo Associazioni di Categoria;94;2;35;1;7;544;8;-1;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
387;Gestisci il gruppo SupervisoreDDRR;95;2;97;1;7;544;8;8;NULL;NULL;NULL;0;NULL;NULL;ConsoleIntranet;NULL;NULL
388;Gestisci il gruppo SupervNazionale CSA DCPREV DCSIT;95;2;98;1;7;544;8;8;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
389;"Gestisci il gruppo Supervisore Sede ";95;2;99;1;7;544;8;8;NULL;NULL;NULL;0;NULL;NULL;ConsoleIntranet;NULL;NULL
