Id;IdTipoAttributo;IdGruppo;Ordine;Nome;Descrizione;IdStoreProcedure;DataSource;DataMember;DataLen;DataFormat;necessario;RitornaDescrizione;PostBack;Discriminante;Principale;visualizzaValore;defaultValue;IdSPverificaAttributo;Regex;IsEsteso
10;1;30;1;albo;Albo;NULL;NULL;NULL;NULL;NULL;0;0;0;1;0;1;NULL;28;NULL;NULL
11;1;1347;1;albo;Albo;1;NULL;NULL;NULL;NULL;0;0;0;1;0;1;NULL;NULL;NULL;NULL
12;3;35;1;codAssCategoria;Codice Ass.categoria;19;NULL;NULL;NULL;NULL;0;0;0;1;1;1;NULL;17;NULL;NULL
13;3;36;1;codAssCategoria;Codice Ass.categoria;NULL;profiloUtente;codAssCategoria;NULL;NULL;0;0;0;1;1;1;NULL;NULL;NULL;NULL
14;3;47;1;codAssCategoria;Codice Ass.categoria;NULL;profiloUtente;codAssCategoria;NULL;NULL;0;0;0;1;1;1;NULL;NULL;NULL;NULL
18;3;41;1;codFornitore;Codice Fornitore;19;NULL;NULL;NULL;NULL;0;0;0;1;0;1;NULL;25;NULL;NULL
19;3;42;1;codFornitore;Codice Fornitore;19;NULL;NULL;NULL;NULL;0;0;0;1;1;1;NULL;24;NULL;NULL
20;3;40;1;codFornitorePadre;Codice Fornitore;19;profiloUtente;codFornitore;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
21;1;32;1;codPatronato;Codice Patronato;1;NULL;NULL;NULL;NULL;0;0;0;1;1;1;NULL;NULL;NULL;NULL
22;1;33;1;codPatronato;Codice Patronato;1;NULL;NULL;NULL;NULL;0;0;0;1;1;1;NULL;NULL;NULL;NULL
23;2;33;2;codPatronatoUffZon;Ufficio Zonale;1;NULL;NULL;NULL;NULL;0;0;0;1;0;1;NULL;21;NULL;NULL
25;3;62;1;codiceUnita;Sede INAIL;NULL;profiloUtente;codiceUnita;NULL;NULL;0;1;1;1;1;1;NULL;NULL;NULL;NULL
32;3;29;1;userNamePadre;Utente 'padre';NULL;profiloUtente;username;NULL;NULL;0;0;0;1;0;1;NULL;NULL;NULL;NULL
